ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2024;12;Cerrado;83,2495;85,0017;202,1269;0,4205;30,368;120,6283;2050,0;-0,43;GEE 2021-2025
2024;12;Mata Atlântica;120,8973;98,5217;226,0377;0,4359;29,1756;27,8037;4175,0;-0,43;GEE 2021-2025
2025;1;Caatinga;82,6815;69,8028;211,8512;0,3295;29,2348;131,9072;450,0;-0,46;GEE 2021-2025
2025;1;Cerrado;113,1227;102,0424;192,8818;0,529;25,8101;216,5941;3625,0;-0,46;GEE 2021-2025
2025;1;Mata Atlântica;116,5939;101,2296;202,4796;0,4999;27,8679;114,8697;850,0;-0,46;GEE 2021-2025
2025;2;Caatinga;111,0613;85,5591;246,8461;0,3466;28,5885;24,3758;100,0;-0,22;GEE 2021-2025
2025;2;Cerrado;138,6054;106,7813;230,0279;0,4642;27,6378;57,5989;10400,0;-0,22;GEE 2021-2025
2025;2;Mata Atlântica;162,5584;108,0214;244,0271;0,4427;26,9063;51,4994;0,0;-0,22;GEE 2021-2025
2025;3;Caatinga;69,7134;55,7865;242,0113;0,2305;29,8257;20,3321;2025,0;-0,08;GEE 2021-2025
2025;3;Cerrado;78,5307;68,0898;233,0912;0,2921;29,3788;69,2327;18400,0;-0,08;GEE 2021-2025
2025;3;Mata Atlântica;139,0962;105,3423;230,9426;0,4561;26,5627;51,6546;0,0;-0,08;GEE 2021-2025
2025;4;Caatinga;68,4308;57,1771;217,8298;0,2625;30,536;56,6659;225,0;0,02;GEE 2021-2025
2025;4;Cerrado;90,1775;77,3947;208,0822;0,3719;27,9955;72,286;2625,0;0,02;GEE 2021-2025
2025;4;Mata Atlântica;113,4156;101,914;197,4758;0,5161;26,2674;86,2296;0,0;0,02;GEE 2021-2025
2025;5;Caatinga;107,1164;60,4812;182,2066;0,3319;27,0841;80,2584;1075,0;-0,04;GEE 2021-2025
2025;5;Cerrado;117,6235;68,4502;186,9037;0,3662;26,3533;25,3051;14750,0;-0,04;GEE 2021-2025
2025;5;Mata Atlântica;142,6149;104,0607;160,6404;0,6478;23,5856;127,9292;1975,0;-0,04;GEE 2021-2025
2025;6;Caatinga;89,081;39,7323;173,1551;0,2295;26,1114;23,495;2075,0;-0,02;GEE 2021-2025
2025;6;Cerrado;84,7022;38,7588;184,7737;0,2098;26,2287;0,707;17800,0;-0,02;GEE 2021-2025
2025;6;Mata Atlântica;143,5284;89,6347;143,9232;0,6228;22,4421;40,7939;1350,0;-0,02;GEE 2021-2025
2025;7;Caatinga;87,3908;33,1813;179,3899;0,185;26,3262;14,2213;4625,0;-0,11;GEE 2021-2025
2025;7;Cerrado;79,4404;27,2678;195,9982;0,1391;27,1018;0,679;39725,0;-0,11;GEE 2021-2025
2025;7;Mata Atlântica;153,7669;87,1631;144,2506;0,6042;22,1567;37,7792;3000,0;-0,11;GEE 2021-2025
2025;8;Caatinga;70,8081;25,9622;212,3732;0,1222;28,0791;13,7302;25375,0;-0,26;GEE 2021-2025
2025;8;Cerrado;50,3767;20,8007;231,2444;0,09;29,3613;2,3065;114375,0;-0,26;GEE 2021-2025
2025;8;Mata Atlântica;150,5593;80,9974;171,5607;0,4721;22,8175;32,4958;825,0;-0,26;GEE 2021-2025
2025;9;Caatinga;54,984;21,0891;246,1377;0,0857;31,2879;10,4799;69175,0;-0,43;GEE 2021-2025
2025;9;Cerrado;19,3704;15,7058;263,2997;0,0597;33,5595;4,0557;330000,0;-0,43;GEE 2021-2025
2025;9;Mata Atlântica;150,3856;79,0542;207,28;0,3814;25,1645;33,4725;2725,0;-0,43;GEE 2021-2025
2025;10;Caatinga;46,0701;23,1219;250,7562;0,0922;33,6073;;41300,0;-0,57;GEE 2021-2025
2025;10;Cerrado;23,3365;21,2525;250,7405;0,0848;35,3189;;309600,0;-0,57;GEE 2021-2025
2025;10;Mata Atlântica;134,5004;83,0114;215,346;0,3855;26,7093;;2175,0;-0,57;GEE 2021-2025
2025;11;Caatinga;75,4927;57,6409;209,5345;0,2751;31,7592;;5025,0;-0,61;GEE 2021-2025
2025;11;Cerrado;84,4095;74,6588;180,17;0,4144;30,552;;41725,0;-0,61;GEE 2021-2025
2025;11;Mata Atlântica;133,1841;100,5829;195,8489;0,5136;26,2998;;250,0;-0,61;GEE 2021-2025
2025;12;Caatinga;99,7467;69,5261;206,5678;0,3366;29,3949;;4850,0;-0,6;GEE 2021-2025
2025;12;Cerrado;128,1676;100,2602;176,8393;0,567;27,8144;;21575,0;-0,6;GEE 2021-2025
2025;12;Mata Atlântica;144,3913;96,4697;198,0127;0,4872;26,4973;;50,0;-0,6;GEE 2021-2025
